Time,Category level 0,Category level 1,Category level 2,Unique SKUs Listed,Unique SKUs Sold,# of sold SKU items,Price before Discount (includ. VAT) (EUR),Discount Value (EUR),Item COGS (net VAT) (EUR),"Waste, # of items"
2023-09-17,Fresh Food,🧀 Cheese,Hard Cheese,26,17,37,135.812592,10.491467,88.81738,0
2023-08-02,Fresh Food,🍞 Bakery,Gluten Free,1,0,0,0,0,0,0
2023-08-26,Fresh Food,🥛 Dairy & Eggs,Sour Cream & Cream,14,10,26,53.454514,3.213313,31.87778,0
2023-09-24,Fresh Food,🥪 Fresh & Ready,Desserts & Sweets,25,13,47,61.698558,3.516517,41.22566,0
2023-09-15,Fresh Food,🍗 Meat & Fish,Meat & Fish Alternatives,17,3,8,13.061563,1.358066,8.68154,0
2023-08-10,Fresh Food,🍞 Bakery,Daily Baked Bread,6,6,40,25.932734,1.711319,15.45244,0
2023-08-09,Fresh Food,🧀 Cheese,Blue Cheese,5,3,4,8.544318,0,5.43068,1
2023-09-13,Fresh Food,🥪 Fresh & Ready,Fresh Spreads,11,7,14,41.319254,3.098542,24.61533,0
2023-09-12,Fresh Food,🥕 Fruits & Vegetables,Berries,2,2,44,63.358249,4.504624,37.78844,0
2023-07-12,Fresh Food,🧀 Cheese,Cheese Snacks,3,1,6,6.655308,0,4.2914,0
2023-08-10,Fresh Food,🥕 Fruits & Vegetables,Vegetables,23,19,218,296.146976,12.015637,136.20963,33
2023-08-16,Fresh Food,🍞 Bakery,Gluten Free,1,0,0,0,0,0,0
2023-08-21,Fresh Food,🥪 Fresh & Ready,Desserts & Sweets,26,20,51,128.752026,7.746705,82.69767,0
2023-09-27,Fresh Food,🥪 Fresh & Ready,Salads & Bowls,10,6,19,70.150859,0,50.35037,0
2023-09-02,Fresh Food,🥕 Fruits & Vegetables,Fruits,24,24,302,437.725339,38.166211,275.74054,17
2023-07-14,Fresh Food,🥪 Fresh & Ready,Bio & Special Nutrition Meals,5,3,6,14.973115,0.445507,8.4039,0
2023-08-17,Fresh Food,🥪 Fresh & Ready,Desserts & Sweets,29,21,79,212.889025,59.613626,135.25758,1
2023-07-07,Fresh Food,🍗 Meat & Fish,Fresh Poultry,3,4,56,247.866403,18.760509,174.65375,19
2023-08-31,Fresh Food,🥛 Dairy & Eggs,Milk,47,36,136,323.947216,18.995114,218.41058,0
2023-09-06,Fresh Food,🧀 Cheese,Blue Cheese,6,3,8,17.033004,1.221249,10.82598,0
2023-07-03,Fresh Food,🍞 Bakery,Daily Baked Bread,7,7,46,73.155211,3.924867,45.32194,0
2023-07-20,Fresh Food,🥪 Fresh & Ready,Ready Meals,23,12,25,94.166918,5.024937,60.95981,0
2023-07-10,Fresh Food,🍞 Bakery,Gluten Free,1,0,0,0,0,0,0
2023-07-16,Fresh Food,🥛 Dairy & Eggs,Bio & Special Nutrition Butter,1,1,1,4.660504,0.69938,3.1766,0
2023-08-21,Fresh Food,🍗 Meat & Fish,Bacon & Cold Cuts,48,32,134,273.98552,19.492298,186.52236,3
2023-07-31,Fresh Food,🥕 Fruits & Vegetables,Fruits,25,24,273,468.18276,16.712635,319.91437,8
2023-07-29,Fresh Food,🧀 Cheese,Soft Cheese,17,12,28,96.162879,5.85332,63.24785,0
2023-07-31,Fresh Food,🍞 Bakery,Daily Baked Bread,11,9,76,70.441086,3.250127,42.91029,0
2023-09-19,Fresh Food,🥪 Fresh & Ready,Salads & Bowls,10,5,7,23.825916,0,16.25948,0
2023-07-26,Fresh Food,🍞 Bakery,Sweet Pastries,30,24,95,97.041206,4.137878,58.20859,0
2023-08-16,Fresh Food,🍗 Meat & Fish,Fish & Seafood,7,5,14,57.215527,3.890559,37.77487,0
2023-07-31,Fresh Food,🥪 Fresh & Ready,Bio & Special Nutrition Meals,4,1,1,2.226866,0.445779,1.50957,0
2023-08-28,Fresh Food,🥪 Fresh & Ready,Sandwiches & Wraps,3,3,21,47.71611,2.801948,31.23849,0
2023-09-26,Fresh Food,🥕 Fruits & Vegetables,Salad Mixes,14,11,40,52.00324,3.86103,30.71934,34
2023-07-23,Fresh Food,🥛 Dairy & Eggs,Bio & Special Nutrition Yogurt,8,7,16,15.147331,0.441815,10.32182,0
2023-08-23,Fresh Food,🥕 Fruits & Vegetables,Herbs,5,5,40,31.300152,2.65221,17.44996,5
2023-08-14,Fresh Food,🥛 Dairy & Eggs,Eggs,4,4,58,137.68731,8.215669,91.06046,0
2023-07-07,Fresh Food,🧀 Cheese,Bio & Special Nutrition Cheese,11,2,2,8.072811,0,5.29438,0
2023-09-04,Fresh Food,🧀 Cheese,Cottage Cheese,12,10,35,52.083314,3.745506,33.77018,0
2023-07-07,Fresh Food,🥛 Dairy & Eggs,Dairy Beverages,23,16,62,93.990301,3.351891,56.94423,20
2023-07-23,Fresh Food,🥕 Fruits & Vegetables,Herbs,5,5,32,24.842917,2.194883,17.21655,12
2023-09-14,Fresh Food,🥕 Fruits & Vegetables,Bio & Organic,8,6,23,41.535449,1.540957,26.81998,0
2023-07-05,Fresh Food,🍗 Meat & Fish,Fresh Meat,16,11,43,175.252641,15.413637,111.30619,15
2023-07-20,Fresh Food,🥕 Fruits & Vegetables,Vegetables,22,21,178,248.090074,16.077785,105.55785,2
2023-07-16,Fresh Food,🧀 Cheese,Hard Cheese,25,16,47,168.323459,16.529686,113.15623,0
2023-08-28,Fresh Food,🍞 Bakery,"Sliced Bread, Wraps & More",22,23,132,220.750504,14.430834,163.3835,8
2023-08-25,Fresh Food,🧀 Cheese,Cottage Cheese,12,7,33,49.125951,7.258417,33.1104,7
2023-07-15,Fresh Food,🧀 Cheese,Blue Cheese,6,1,1,6.086227,0,4.0231,0
2023-07-15,Fresh Food,🥪 Fresh & Ready,Fresh Drinks & Pouches,14,10,45,146.111646,8.549847,92.41413,0
2023-08-18,Fresh Food,🥪 Fresh & Ready,Ready Meals,21,11,16,52.339715,0,32.88318,0
2023-07-19,Fresh Food,🥛 Dairy & Eggs,Eggs,4,4,58,134.446546,6.040191,88.83251,2
2023-07-16,Fresh Food,🥪 Fresh & Ready,Fresh Pastry,6,4,4,16.209392,2.838063,11.31172,0
2023-07-29,Fresh Food,🥪 Fresh & Ready,Salads & Bowls,14,5,8,30.100486,1.505834,21.0924,0
2023-07-26,Fresh Food,🍗 Meat & Fish,Bacon & Cold Cuts,53,46,147,325.262174,16.543407,211.81777,6
2023-07-18,Fresh Food,🧀 Cheese,Soft Cheese,19,16,49,168.346606,13.178661,111.30911,0
2023-09-18,Fresh Food,🍗 Meat & Fish,Meat & Fish Alternatives,16,3,5,8.341247,0.60371,5.13355,0
2023-08-14,Fresh Food,🥕 Fruits & Vegetables,Fruits,24,23,266,432.46388,24.715807,279.00379,53
2023-07-04,Fresh Food,🍗 Meat & Fish,Ready To Cook,6,3,14,50.265984,2.040049,33.99407,19
2023-08-30,Fresh Food,🥪 Fresh & Ready,Soups,4,2,2,6.168832,0.58693,4.06196,0
2023-07-15,Fresh Food,🧀 Cheese,Soft Cheese,19,12,34,117.145194,8.837062,76.10638,0
2023-09-16,Fresh Food,🍗 Meat & Fish,Ready To Cook,3,1,3,10.24971,0.683716,6.39477,0
2023-08-22,Fresh Food,🧀 Cheese,Spreads,28,17,39,81.761984,5.839421,52.86503,0
2023-07-01,Fresh Food,🧀 Cheese,Cheese Snacks,3,3,8,13.982285,0.806825,9.09495,0
2023-08-02,Fresh Food,🥪 Fresh & Ready,Sandwiches & Wraps,3,3,21,47.071212,0.660606,29.97046,0
2023-09-05,Fresh Food,🍗 Meat & Fish,Meat & Fish Alternatives,17,7,16,38.009372,3.794079,23.59188,0
2023-09-22,Fresh Food,🥪 Fresh & Ready,Fresh Pastry,6,1,1,4.023528,0,2.80782,0
2023-09-20,Fresh Food,🥪 Fresh & Ready,Salads & Bowls,10,6,8,27.909568,0,19.16773,0
2023-09-17,Fresh Food,🥪 Fresh & Ready,Bio & Special Nutrition Meals,4,2,3,6.03627,0.402821,3.76437,0
2023-08-04,Fresh Food,🥪 Fresh & Ready,Bio & Special Nutrition Meals,4,1,4,8.886037,0.222353,6.02375,0
2023-09-09,Fresh Food,🥪 Fresh & Ready,Fresh Pastry,6,3,3,12.078252,2.416857,8.4288,0
2023-08-20,Fresh Food,🍞 Bakery,Sweet Pastries,25,19,92,96.184208,2.888106,57.88893,0
2023-09-03,Fresh Food,🥪 Fresh & Ready,Special Nutrition Desserts,10,5,10,25.155051,1.91542,15.3365,0
2023-07-17,Fresh Food,🥪 Fresh & Ready,Salads & Bowls,13,7,23,77.269665,3.828375,50.87589,0
2023-07-19,Fresh Food,🥪 Fresh & Ready,Fresh Pastry,6,3,5,20.22506,0,14.11405,0
2023-09-10,Fresh Food,🍗 Meat & Fish,Fresh Meat,16,15,53,241.118784,35.835087,154.36943,0
2023-08-16,Fresh Food,🍞 Bakery,Daily Baked Pastries,2,0,0,0,0,0,0
2023-09-26,Fresh Food,🥛 Dairy & Eggs,Sour Cream & Cream,13,8,21,41.946462,2.415153,26.11704,0
